"GeneID","GeneName","control.Expression","treat.Expression","log2FoldChange","pvalue","padj","Up.Down.Regulation","shNC_HT29.1","shNC_HT29.2","shNC_HT29.3","shHMGA1_HT29.1","shHMGA1_HT29.2","shHMGA1_HT29.3"
"ENSG00000165914.15","TTC7B",1151.928056,1068.251969,-0.10879864,0.154932495,0.289374426,"*",18.5,18.46,18.51,18.49,20.07,15.37
"ENSG00000180884.10","ZNF792",208.0849876,178.4449763,-0.221693599,0.154992427,0.289453617,"*",2.02,1.93,1.87,1.61,1.66,1.88
"ENSG00000260442.5","ATP2A1-AS1",81.18433341,101.7000489,0.325047118,0.155026203,0.289483948,"*",16.66,15.19,17.2,24.58,19.51,20.55
"ENSG00000127364.3","TAS2R4",26.78343032,38.69122252,0.530665567,0.155072455,0.289537566,"*",0.41,0.43,0.5,0.55,0.78,0.61
"ENSG00000256966.6","AL513165.2",15.70509067,26.01740627,0.728244872,0.155115382,0.289584965,"*",0.81,0.19,0.41,0.58,0.96,0.73
"ENSG00000073670.14","ADAM11",306.7423294,346.5542399,0.176053902,0.155173356,0.289660441,"*",2.96,3.15,2.52,3.49,3.08,2.94
"ENSG00000170835.14","CEL",56.06923501,41.39595387,-0.437719624,0.15523276,0.289709462,"*",0.91,1.02,0.82,0.62,0.63,0.8
"ENSG00000105656.13","ELL",670.4851487,732.1076248,0.126850373,0.155244295,0.289709462,"*",6.29,6.09,6.28,6.96,6.73,7.09
"ENSG00000198933.9","TBKBP1",474.5813874,530.0959303,0.159597944,0.155256724,0.289709462,"*",9.2,9.44,9.57,9.64,9.75,9.86
"ENSG00000267249.1","AP005482.3",7.400989226,14.00204268,0.919847288,0.155269811,0.289709462,"*",0.65,0.49,0.63,1.18,1.3,0.97
"ENSG00000229212.8","AC044860.1",933.5794598,1011.959648,0.116307039,0.155495074,0.29009698,"*",12.98,11.67,12.03,12.68,12.65,12.98
"ENSG00000126088.14","UROD",1641.4428,1514.019591,-0.116580603,0.155549762,0.290166217,"*",61.38,63.16,68.19,55.28,66.32,61
"ENSG00000166813.15","KIF7",16.73279791,26.42914731,0.659451179,0.155588052,0.290204853,"*",0.15,0.1,0.14,0.26,0.18,0.2
"ENSG00000136152.15","COG3",942.0662199,869.8857586,-0.115002528,0.155686468,0.290355614,"*",15.33,16.89,13.08,14.13,12.32,14.64
"ENSG00000244151.1","AC010973.2",13.800355,22.5881922,0.710863433,0.155752379,0.290445727,"*",0.66,0.48,0.42,0.96,0.81,0.79
